position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
10,Athletic Bilbao,30,11.470588235294116,6.1764705882352935,12.352941176470587,0.04,0.042,-0.0020000000000000018,32.35294117647059,1974-75
11,Español,30,12.352941176470587,4.411764705882353,13.235294117647058,0.038,0.047,-0.009000000000000001,32.35294117647059,1974-75
12,Valencia,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.053,0.048,0.0049999999999999975,31.372549019607842,1974-75
13,Las Palmas,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.041,0.039,0.0020000000000000018,31.372549019607842,1974-75
14,Sporting Gijón,30,9.705882352941178,8.823529411764707,11.470588235294116,0.04,0.04,0.0,31.372549019607842,1974-75
15,Granada,30,8.823529411764707,9.705882352941178,11.470588235294116,0.035,0.047,-0.011999999999999997,30.392156862745097,1974-75
16,Málaga,30,11.470588235294116,4.411764705882353,14.117647058823529,0.033,0.042,-0.009000000000000001,30.392156862745097,1974-75
17,Celta Vigo,30,8.823529411764707,8.823529411764707,12.352941176470587,0.03,0.041,-0.011000000000000003,29.411764705882355,1974-75
18,Murcia,30,6.1764705882352935,7.9411764705882355,15.882352941176471,0.031,0.066,-0.035,22.54901960784314,1974-75
1,Real Madrid,30,17.647058823529413,7.0588235294117645,5.294117647058824,0.054,0.026,0.028,47.05882352941176,1975-76
2,Barcelona,30,15.882352941176471,6.1764705882352935,7.9411764705882355,0.061,0.041,0.019999999999999997,42.15686274509804,1975-76
3,Atlético Madrid,30,15.882352941176471,5.294117647058824,8.823529411764707,0.06,0.038,0.022,41.17647058823529,1975-76
4,Español,30,15.882352941176471,3.5294117647058822,10.588235294117649,0.048,0.045,0.0030000000000000027,39.21568627450981,1975-76
5,Athletic Bilbao,30,12.352941176470587,9.705882352941178,7.9411764705882355,0.043,0.038,0.0049999999999999975,38.23529411764706,1975-76
6,Hércules,30,10.588235294117649,10.588235294117649,8.823529411764707,0.033,0.037,-0.003999999999999997,35.294117647058826,1975-76
7,Real Betis,30,13.235294117647058,4.411764705882353,12.352941176470587,0.034,0.05,-0.016,34.31372549019608,1975-76
8,Real Sociedad,30,10.588235294117649,8.823529411764707,10.588235294117649,0.045,0.045,0.0,33.33333333333333,1975-76
9,Salamanca,30,10.588235294117649,8.823529411764707,10.588235294117649,0.031,0.033,-0.0020000000000000018,33.33333333333333,1975-76
10,Valencia,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.043,0.041,0.001999999999999995,31.372549019607842,1975-76
11,Sevilla,30,11.470588235294116,5.294117647058824,13.235294117647058,0.035,0.039,-0.003999999999999997,31.372549019607842,1975-76
12,Racing Santander,30,12.352941176470587,3.5294117647058822,14.117647058823529,0.045,0.056,-0.011000000000000003,31.372549019607842,1975-76
13,Las Palmas,30,10.588235294117649,5.294117647058824,14.117647058823529,0.039,0.043,-0.003999999999999997,29.411764705882355,1975-76
14,Zaragoza,30,9.705882352941178,7.0588235294117645,13.235294117647058,0.045,0.043,0.0020000000000000018,29.411764705882355,1975-76
15,Elche,30,7.0588235294117645,10.588235294117649,12.352941176470587,0.038,0.049,-0.011000000000000003,27.450980392156865,1975-76
16,Oviedo,30,9.705882352941178,4.411764705882353,15.882352941176471,0.041,0.045,-0.003999999999999997,26.47058823529412,1975-76
17,Granada,30,7.0588235294117645,8.823529411764707,14.117647058823529,0.029,0.05,-0.021,25.49019607843137,1975-76
18,Sporting Gijón,30,6.1764705882352935,8.823529411764707,15.0,0.041,0.046,-0.0049999999999999975,23.52941176470588,1975-76
1,Atlético Madrid,30,16.764705882352942,7.0588235294117645,6.1764705882352935,0.062,0.033,0.028999999999999998,45.09803921568628,1976-77
2,Barcelona,30,15.882352941176471,7.9411764705882355,6.1764705882352935,0.069,0.034,0.035,44.11764705882353,1976-77
3,Athletic Bilbao,30,13.235294117647058,7.0588235294117645,9.705882352941178,0.055,0.045,0.010000000000000002,37.254901960784316,1976-77
4,Las Palmas,30,13.235294117647058,5.294117647058824,11.470588235294116,0.056,0.051,0.0050000000000000044,35.294117647058826,1976-77
5,Real Betis,30,13.235294117647058,5.294117647058824,11.470588235294116,0.042,0.042,0.0,35.294117647058826,1976-77
6,Español,30,12.352941176470587,7.0588235294117645,10.588235294117649,0.061,0.059,0.0020000000000000018,35.294117647058826,1976-77
7,Valencia,30,11.470588235294116,8.823529411764707,9.705882352941178,0.053,0.047,0.005999999999999998,35.294117647058826,1976-77
8,Real Sociedad,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.054,0.041,0.012999999999999998,33.33333333333333,1976-77
9,Real Madrid,30,10.588235294117649,8.823529411764707,10.588235294117649,0.057,0.053,0.0040000000000000036,33.33333333333333,1976-77
10,Sevilla,30,9.705882352941178,10.588235294117649,9.705882352941178,0.032,0.039,-0.006999999999999999,33.33333333333333,1976-77
11,Elche,30,9.705882352941178,9.705882352941178,10.588235294117649,0.045,0.047,-0.0020000000000000018,32.35294117647059,1976-77
12,Salamanca,30,11.470588235294116,5.294117647058824,13.235294117647058,0.03,0.034,-0.0040000000000000036,31.372549019607842,1976-77
13,Hércules,30,9.705882352941178,8.823529411764707,11.470588235294116,0.035,0.041,-0.005999999999999998,31.372549019607842,1976-77
14,Burgos,30,12.352941176470587,3.5294117647058822,14.117647058823529,0.046,0.05,-0.0040000000000000036,31.372549019607842,1976-77
15,Racing Santander,30,10.588235294117649,6.1764705882352935,13.235294117647058,0.041,0.062,-0.020999999999999998,30.392156862745097,1976-77
16,Zaragoza,30,8.823529411764707,8.823529411764707,12.352941176470587,0.042,0.051,-0.008999999999999994,29.411764705882355,1976-77
17,Celta,30,7.9411764705882355,9.705882352941178,12.352941176470587,0.022,0.04,-0.018000000000000002,28.431372549019606,1976-77
18,Málaga,30,5.294117647058824,5.294117647058824,19.411764705882355,0.027,0.06,-0.033,17.647058823529413,1976-77
1,Real Madrid,30,19.411764705882355,2.647058823529412,7.9411764705882355,0.077,0.04,0.037,46.07843137254902,1977-78
2,Barcelona,30,14.117647058823529,7.9411764705882355,7.9411764705882355,0.049,0.029,0.02,40.19607843137255,1977-78
3,Athletic Bilbao,30,14.117647058823529,7.0588235294117645,8.823529411764707,0.062,0.036,0.026000000000000002,39.21568627450981,1977-78
4,Valencia,30,14.117647058823529,6.1764705882352935,9.705882352941178,0.054,0.033,0.020999999999999998,38.23529411764706,1977-78
5,Sporting Gijón,30,13.235294117647058,7.9411764705882355,8.823529411764707,0.053,0.043,0.010000000000000002,38.23529411764706,1977-78
6,Atlético Madrid,30,14.117647058823529,3.5294117647058822,12.352941176470587,0.061,0.052,0.009000000000000001,35.294117647058826,1977-78
7,Las Palmas,30,10.588235294117649,9.705882352941178,9.705882352941178,0.043,0.041,0.001999999999999995,34.31372549019608,1977-78
