Home,Away,Score
Real Sociedad,Sevilla FC,1–2
Real Sociedad,Valencia CF,0–1
Real Sociedad,Real Valladolid,4–1
Real Sociedad,Villarreal CF,1–1
Sevilla FC,Deportivo Alavés,1–0
Sevilla FC,Athletic Bilbao,0–1
Sevilla FC,Atlético Madrid,1–0
Sevilla FC,FC Barcelona,0–2
Sevilla FC,Cádiz CF,3–0
Sevilla FC,RC Celta de Vigo,4–2
Sevilla FC,SD Eibar,0–1
Sevilla FC,Elche CF,2–0
Sevilla FC,Getafe CF,3–0
Sevilla FC,Granada CF,2–1
Sevilla FC,SD Huesca,1–0
Sevilla FC,Levante UD,1–0
Sevilla FC,CA Osasuna,1–0
Sevilla FC,Real Betis,1–0
Sevilla FC,Real Madrid CF,0–1
Sevilla FC,Real Sociedad,3–2
Sevilla FC,Valencia CF,1–0
Sevilla FC,Real Valladolid,1–1
Sevilla FC,Villarreal CF,2–0
Valencia CF,Deportivo Alavés,1–1
Valencia CF,Athletic Bilbao,2–2
Valencia CF,Atlético Madrid,0–1
Valencia CF,FC Barcelona,2–3
Valencia CF,Cádiz CF,1–1
Valencia CF,RC Celta de Vigo,2–0
Valencia CF,SD Eibar,4–1
Valencia CF,Elche CF,1–0
Valencia CF,Getafe CF,2–2
Valencia CF,Granada CF,2–1
Valencia CF,SD Huesca,1–1
Valencia CF,Levante UD,4–2
Valencia CF,CA Osasuna,1–1
Valencia CF,Real Betis,0–2
Valencia CF,Real Madrid CF,4–1
Valencia CF,Real Sociedad,2–2
Valencia CF,Sevilla FC,0–1
Valencia CF,Real Valladolid,3–0
Valencia CF,Villarreal CF,2–1
Real Valladolid,Deportivo Alavés,0–2
Real Valladolid,Athletic Bilbao,2–1
Real Valladolid,Atlético Madrid,1–2
Real Valladolid,FC Barcelona,0–3
Real Valladolid,Cádiz CF,1–1
Real Valladolid,RC Celta de Vigo,1–1
Real Valladolid,SD Eibar,1–2
Real Valladolid,Elche CF,2–2
Real Valladolid,Getafe CF,2–1
Real Valladolid,Granada CF,1–2
Real Valladolid,SD Huesca,1–3
Real Valladolid,Levante UD,1–1
Real Valladolid,CA Osasuna,3–2
Real Valladolid,Real Betis,1–1
Real Valladolid,Real Madrid CF,0–1
Real Valladolid,Real Sociedad,1–1
Real Valladolid,Sevilla FC,1–1
Real Valladolid,Valencia CF,0–1
Real Valladolid,Villarreal CF,0–2
Villarreal CF,Deportivo Alavés,3–1
Villarreal CF,Athletic Bilbao,1–1
Villarreal CF,Atlético Madrid,0–2
Villarreal CF,FC Barcelona,1–2
Villarreal CF,Cádiz CF,2–1
Villarreal CF,RC Celta de Vigo,2–4
Villarreal CF,SD Eibar,2–1
Villarreal CF,Elche CF,0–0
Villarreal CF,Getafe CF,1–0
Villarreal CF,Granada CF,2–2
Villarreal CF,SD Huesca,1–1
Villarreal CF,Levante UD,2–1
Villarreal CF,CA Osasuna,1–2
Villarreal CF,Real Betis,1–2
Villarreal CF,Real Madrid CF,1–1
Villarreal CF,Real Sociedad,1–1
Villarreal CF,Sevilla FC,4–0
Villarreal CF,Valencia CF,2–1
Villarreal CF,Real Valladolid,2–0
